Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
March-2020,148,1246.84,"2,06,462.31"
February-2020,146,1325.69,"2,22,516.95"
January-2020,144,1305.02,"2,16,242.97"
December-2019,143,1308.4,"2,02,520.76"
November-2019,143,1218.77,"1,89,229.09"
October-2019,141,1148.36,"1,91,359.94"
September-2019,141,955.02,"1,61,456.56"
August-2019,141,918.35,"1,54,504.89"
July-2019,143,822.29,"1,46,386.64"
June-2019,142,754.54,"1,46,566.35"
May-2019,143,733.54,"1,52,449.29"
April-2019,144,781.79,"1,42,034.39"
