Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
March-2021,216,2731.68,"5,04,886.44"
February-2021,213,2292.9,"4,25,062.76"
January-2021,207,2302.73,"4,31,181.89"
December-2020,207,2234.16,"4,16,176.21"
November-2020,200,2210.23,"3,90,999.15"
October-2020,189,2071.62,"3,86,106.74"
September-2020,174,1800.14,"3,29,027.66"
August-2020,168,1618.83,"2,98,307.61"
July-2020,164,1497.36,"2,90,537.86"
June-2020,155,1336.93,"2,61,835.00"
May-2020,155,1234.5,"2,18,391.60"
April-2020,153,999.57,"1,51,140.66"
